text,code,rodata,data,bss,dec,hex,filename
1094,434,660,0,0,1094,`446,armino/cmsis/libcmsis.a
3316,2250,1066,0,348,3664,`e50,armino/cm33/libcm33.a
2723,2194,529,9,80,2812,`afc,armino/bk_system/libbk_system.a
27908,20142,7766,3697,1475,33080,`8138,armino/bk_cli/libbk_cli.a
73383,61088,12295,1898,4918,80199,`13947,armino/driver/libdriver.a
17622,15852,1770,8,1180,18810,`497a,armino/os_source/libos_source.a
720,268,452,0,8,728,`2d8,armino/main/libmain.a
4722,2230,2492,0,328,5050,`13ba,armino/coredump/libcoredump.a
157966,141008,16958,44,462,158472,`26b08,armino/wpa_supplicant-2.10/libwpa_supplicant-2.10.a
47737,41680,6057,2358,737,50832,`c690,armino/bk_wifi/libbk_wifi.a
58686,52714,5972,360,4041,63087,`f66f,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
7361,4602,2759,4,516,7881,`1ec9,armino/easy_flash/libeasy_flash.a
698,304,394,44,12,754,`2f2,armino/bk_usb/libbk_usb.a
1046,72,974,4,0,1050,`41a,armino/vnd_cal/libvnd_cal.a
3448,2100,1348,0,9,3457,`d81,armino/at/libat.a
53290,37952,15338,971,2430,56691,`dd73,armino/tuyaos_adapter/libtuyaos_adapter.a
34729,33026,1703,0,0,34729,`87a9,armino/wolfssl/libwolfssl.a
4825,4574,251,296,748,5869,`16ed,armino/bk_vfs/libbk_vfs.a
26908,18458,8450,161,261,27330,`6ac2,armino/multimedia/libmultimedia.a
6375,4772,1603,0,13,6388,`18f4,armino/media_unit_test/libmedia_unit_test.a
209685,174166,35519,153,44061,253899,`3dfcb,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/bk_idk/components/bk_libs/bk7258/libs/libwifi.a
132969,110824,22145,60,15843,148872,`24588,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/bk_idk/components/bk_libs/bk7258/libs/libbluetooth_controller_controller_only.a
357620,18068,339552,37,1222,358879,`579df,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/libs/libtuyaos_demo_ai_toy.a
454947,327486,127461,935,19150,475032,`73f98,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/libs/libtuyaos.a
373,236,137,0,4,377,`179,armino/bk_init/libbk_init.a
2412,1934,478,0,17,2429,`97d,armino/bk_event/libbk_event.a
7045,5584,1461,4816,9,11870,`2e5e,armino/bk_rtos/libbk_rtos.a
445,408,37,0,65,510,`1fe,armino/bk_netif/libbk_netif.a
1984,1028,956,0,0,1984,`7c0,armino/bk_phy/libbk_phy.a
3084,2560,524,0,112,3196,`c7c,armino/temp_detect/libtemp_detect.a
4019,2644,1375,28,16,4063,`fdf,armino/iperf/libiperf.a
941,600,341,132,0,1073,`431,armino/media_service/libmedia_service.a
7004,6692,312,0,19,7023,`1b6f,armino/fatfs/libfatfs.a
63113,48888,14225,105,1111,64329,`fb49,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/bk_idk/components/bk_libs/bk7258/libs/libbk_phy.a
29376,16474,12902,0,24,29400,`72d8,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258/libs/libhelix.a
1573,1390,183,20,36,1629,`65d,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/tuyaos/tuyaos_adapter/include/vad/lib/libvad.a
3070,2388,682,388,5,3463,`d87,armino/bk_bluetooth/libbk_bluetooth.a
20544,200,20344,0,0,20544,`5040,armino/utf8/libutf8.a
