text,code,rodata,data,bss,dec,hex,filename
1094,434,660,0,0,1094,`446,armino/cmsis/libcmsis.a
220776,14008,206768,1290,0,222066,`36372,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/tuyaos/tuyaos_adapter/include/asr/libtutuClear/libtutuClear.a
7368,7368,0,0,0,7368,`1cc8,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/libgcc.a
14101,13178,923,1436,11,15548,`3cbc,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
2546,1586,960,0,344,2890,`b4a,armino/cm33/libcm33.a
68215,56016,12199,1434,3835,73484,`11f0c,armino/driver/libdriver.a
923,848,75,1,75,999,`3e7,armino/bk_system/libbk_system.a
192,104,88,0,4,196,`c4,armino/bk_init/libbk_init.a
9579,8238,1341,361,2131,12071,`2f27,armino/bk_cli/libbk_cli.a
3372,3244,128,85,0,3457,`d81,armino/bk7258_cp1/libbk7258_cp1.a
11793,10464,1329,64,164,12021,`2ef5,armino/common/libcommon.a
713,532,181,0,40,753,`2f1,armino/bk_startup/libbk_startup.a
2412,1934,478,0,17,2429,`97d,armino/bk_event/libbk_event.a
1421,1024,397,763,1,2185,`889,armino/bk_pm/libbk_pm.a
461,98,363,0,0,461,`1cd,armino/main/libmain.a
4647,3908,739,4816,5,9468,`24fc,armino/bk_rtos/libbk_rtos.a
937,596,341,132,0,1069,`42d,armino/media_service/libmedia_service.a
15550,13930,1620,8,1156,16714,`414a,armino/os_source/libos_source.a
4722,2230,2492,0,328,5050,`13ba,armino/coredump/libcoredump.a
4,4,0,0,0,4,`4,armino/bk_ate/libbk_ate.a
31919,25636,6283,8,9811,41738,`a30a,armino/bk_usb/libbk_usb.a
10413,8318,2095,790,1294,12497,`30d1,armino/tuyaos_adapter/libtuyaos_adapter.a
5224,5054,170,0,19,5243,`147b,armino/fatfs/libfatfs.a
38153,23482,14671,222,48,38423,`9617,armino/bk_peripheral/libbk_peripheral.a
273743,230652,43091,143,1368,275254,`43336,armino/lvgl/liblvgl.a
3584,2534,1050,0,36,3620,`e24,armino/media_utils/libmedia_utils.a
70893,51260,19633,10705,3916,85514,`14e0a,armino/multimedia/libmultimedia.a
27165,3096,24069,20,122,27307,`6aab,armino/display_service/libdisplay_service.a
16869,1628,15241,0,16,16885,`41f5,armino/bk_draw_blend/libbk_draw_blend.a
18944,8602,10342,0,0,18944,`4a00,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libaec.a
32,32,0,0,4,36,`24,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libaudio_osi.a
323791,222004,101787,0,16640,340431,`531cf,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libfreetype.a
212,212,0,32,0,244,`f4,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libg711.a
32,32,0,0,4,36,`24,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libvideo_osi.a
942758,2124,940634,4,4177,946939,`e72fb,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/libs/libtuyaos_demo_ai_toy.a
5623,3596,2027,20,144,5787,`169b,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/libs/libtuyaos.a
1605,1172,433,0,31,1636,`664,armino/video/libvideo.a
6088,6088,0,0,0,6088,`17c8,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libscale_dtcm.a
18198,17444,754,84,5,18287,`476f,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libtjpg_dtcm_part.a
2597,2498,99,6,131,2734,`aae,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/liblcd_font.a
136098,103520,32578,0,0,136098,`213a2,/home/noah/Documents/tuya/Projects/T5_TuyaOS-3.12.16/software/TuyaOS/vendor/T5/t5_os/components/avdk_libs/bk7258_cp1/libs/libopus.a
